text,label
Alien spaceship discovered buried under Antarctic ice shelf by whistleblowers! NASA tries to cover up!,1
INSIDER LEAK: Major airline secretly uses teleportation technology but charges full ticket prices anyway!,1
SHOCKING SECRET: Secret government cabal uses tap water to control citizen minds! Click here before banned!,1
SHOCKING SECRET: Secret government cabal uses tap water to control citizen minds! Click here before banned!,1
The government approved a new infrastructure bill allocating billions for bridge and highway repairs nationwide.,0
SHOCKING DISCOVERY: Ancient cave painting depicts modern smartphones proving time travel already exists!,1
Billionaire masterminds plot to replace all clouds with artificial holographic projectors next month!,1
Exclusive leaked documents prove that dinosaurs never existed and fossils are manufactured in Chinese factories!,1
BANNED KNOWLEDGE: Whistleblower confirms the ocean is actually a giant holographic projection screen!,1
Police department announced a community policing initiative resulting in a twenty percent drop in petty crime.,0
Government insiders reveal secret moon base has been operational since 1972 with alien ambassadors!,1
Police department announced a community policing initiative resulting in a twenty percent drop in petty crime.,0
HIDDEN CAMERA FOOTAGE: Politicians caught shapeshifting into reptilian forms during closed door session!,1
Exclusive leaked documents prove that dinosaurs never existed and fossils are manufactured in Chinese factories!,1
SHOCKING DISCOVERY: Ancient cave painting depicts modern smartphones proving time travel already exists!,1
BANNED KNOWLEDGE: Whistleblower confirms the ocean is actually a giant holographic projection screen!,1
The central bank announced a 0.25 percent interest rate hike to combat rising inflation across domestic sectors.,0
Celebrity secretly admits on live broadcast that Earth is completely flat and gravity is an illusion!,1
Alien spaceship discovered buried under Antarctic ice shelf by whistleblowers! NASA tries to cover up!,1
Federal aviation authority cleared a new commercial drone delivery service for suburban residential areas.,0
EXPOSED: Popular smartphone apps transmit subconscious hypnotic frequencies while you sleep at night!,1
The national census bureau released updated population statistics showing urban migration trends continuing.,0
The government approved a new infrastructure bill allocating billions for bridge and highway repairs nationwide.,0
UNBELIEVABLE: Man drinks only soda for five years and becomes immortal with super physical strength!,1
Researchers at MIT published a groundbreaking paper on quantum computing error correction techniques.,0
Agricultural ministry introduced subsidized crop insurance programs for smallholder farmers in drought regions.,0
Scientists at the research institute have developed a new solar cell prototype with 30 percent higher efficiency.,0
Billionaire masterminds plot to replace all clouds with artificial holographic projectors next month!,1
MIRACLE CURE: Eating raw garlic mixed with motor oil cures all known illnesses overnight! Doctors furious!,1
UNBELIEVABLE: Man drinks only soda for five years and becomes immortal with super physical strength!,1
Global trade summit concluded with bilateral agreements signed between participating member nations.,0
Federal aviation authority cleared a new commercial drone delivery service for suburban residential areas.,0
Alien spaceship discovered buried under Antarctic ice shelf by whistleblowers! NASA tries to cover up!,1
Federal aviation authority cleared a new commercial drone delivery service for suburban residential areas.,0
Researchers at MIT published a groundbreaking paper on quantum computing error correction techniques.,0
The education department launched a digital literacy program targeting rural schools with limited internet access.,0
UNBELIEVABLE: Man drinks only soda for five years and becomes immortal with super physical strength!,1
BREAKING: Time traveler from the year 2099 arrives with urgent warning about robotic cat uprising!,1
Alien spaceship discovered buried under Antarctic ice shelf by whistleblowers! NASA tries to cover up!,1
Federal aviation authority cleared a new commercial drone delivery service for suburban residential areas.,0
Stock markets closed slightly higher following positive quarterly corporate earnings reports from major retail chains.,0
Police department announced a community policing initiative resulting in a twenty percent drop in petty crime.,0
International climate conference participants agreed on new carbon emission reduction targets for 2030.,0
WAKE UP PEOPLE: Secret world government meeting confirms plan to replace oxygen with artificial substitute!,1
Federal aviation authority cleared a new commercial drone delivery service for suburban residential areas.,0
Automotive manufacturer revealed plans for a new electric vehicle assembly plant creating thousands of jobs.,0
BREAKING: Time traveler from the year 2099 arrives with urgent warning about robotic cat uprising!,1
Alien spaceship discovered buried under Antarctic ice shelf by whistleblowers! NASA tries to cover up!,1
Federal aviation authority cleared a new commercial drone delivery service for suburban residential areas.,0
INSIDER LEAK: Major airline secretly uses teleportation technology but charges full ticket prices anyway!,1
URGENT WARNING: Scientists confirm drinking coffee backwards reverses aging by twenty years instantly!,1
BANNED KNOWLEDGE: Whistleblower confirms the ocean is actually a giant holographic projection screen!,1
Scientists at the research institute have developed a new solar cell prototype with 30 percent higher efficiency.,0
SHOCKING DISCOVERY: Ancient cave painting depicts modern smartphones proving time travel already exists!,1
